ARR_DELAY_NEW (min),DEP_DELAY_NEW (min),AIR_TIME (min),DISTANCE (miles),CARRIER_DELAY (min),NAS_DELAY (min),LATE_AIRCRAFT_DELAY (min),ORIGIN_STATE_ABR
17.0,4.0,87.0,480.0,0.0,17.0,0.0,CA
0.0,7.0,220.0,1844.0,0.0,0.0,0.0,CA
4.0,0.0,138.0,867.0,0.0,0.0,0.0,MA
43.0,37.0,354.0,2378.0,0.0,6.0,37.0,PA
20.0,31.0,71.0,472.0,5.0,0.0,15.0,MD
1.0,5.0,121.0,867.0,0.0,0.0,0.0,WA
25.0,27.0,143.0,1085.0,25.0,0.0,0.0,NJ
41.0,43.0,329.0,2785.0,41.0,0.0,0.0,AK
0.0,2.0,158.0,1130.0,0.0,0.0,0.0,NY
0.0,4.0,82.0,545.0,0.0,0.0,0.0,GA
0.0,1.0,224.0,1927.0,0.0,0.0,0.0,WA
2.0,16.0,80.0,632.0,0.0,0.0,0.0,MI
4.0,1.0,71.0,501.0,0.0,0.0,0.0,CA
0.0,11.0,100.0,645.0,0.0,0.0,0.0,MI
1.0,0.0,58.0,289.0,0.0,0.0,0.0,NY
1.0,0.0,132.0,1090.0,0.0,0.0,0.0,NV
0.0,4.0,65.0,474.0,0.0,0.0,0.0,IL
15.0,15.0,117.0,867.0,0.0,0.0,15.0,WA
5.0,0.0,80.0,622.0,0.0,0.0,0.0,MN
15.0,19.0,57.0,358.0,4.0,0.0,11.0,CA
0.0,1.0,135.0,1053.0,0.0,0.0,0.0,NY
0.0,3.0,82.0,587.0,0.0,0.0,0.0,AL
7.0,25.0,138.0,1042.0,0.0,0.0,0.0,TX
82.0,117.0,99.0,738.0,61.0,0.0,21.0,NY
4.0,1.0,66.0,404.0,0.0,0.0,0.0,GA
7.0,17.0,69.0,476.0,0.0,0.0,0.0,CT
10.0,14.0,217.0,1670.0,0.0,0.0,0.0,TX
0.0,6.0,132.0,1046.0,0.0,0.0,0.0,PR
19.0,17.0,91.0,602.0,0.0,2.0,17.0,CO
7.0,0.0,94.0,731.0,0.0,0.0,0.0,TX
0.0,1.0,137.0,1111.0,0.0,0.0,0.0,FL
0.0,7.0,133.0,1124.0,0.0,0.0,0.0,MN
2.0,0.0,59.0,328.0,0.0,0.0,0.0,TN
90.0,93.0,236.0,1589.0,0.0,0.0,90.0,MN
20.0,22.0,45.0,231.0,20.0,0.0,0.0,NV
4.0,0.0,38.0,191.0,0.0,0.0,0.0,TX
5.0,0.0,110.0,738.0,0.0,0.0,0.0,MD
4.0,0.0,222.0,1562.0,0.0,0.0,0.0,MA
21.0,28.0,59.0,337.0,10.0,0.0,11.0,CA
19.0,0.0,66.0,391.0,0.0,19.0,0.0,CO
2.0,0.0,81.0,551.0,0.0,0.0,0.0,LA
2.0,0.0,296.0,2442.0,0.0,0.0,0.0,CA
16.0,0.0,129.0,728.0,0.0,16.0,0.0,MA
2.0,15.0,119.0,838.0,0.0,0.0,0.0,NH
52.0,25.0,80.0,551.0,0.0,27.0,25.0,GA
15.0,0.0,131.0,846.0,0.0,15.0,0.0,CA
87.0,76.0,66.0,337.0,12.0,11.0,64.0,CA
0.0,9.0,52.0,396.0,0.0,0.0,0.0,TX
0.0,29.0,122.0,944.0,0.0,0.0,0.0,NY
9.0,14.0,69.0,447.0,0.0,0.0,0.0,CA
5.0,13.0,39.0,226.0,0.0,0.0,0.0,NC
0.0,5.0,111.0,867.0,0.0,0.0,0.0,WA
0.0,5.0,132.0,997.0,0.0,0.0,0.0,FL
65.0,74.0,30.0,152.0,47.0,0.0,0.0,GA
13.0,6.0,41.0,216.0,0.0,0.0,0.0,HI
21.0,0.0,116.0,678.0,0.0,21.0,0.0,PA
25.0,32.0,125.0,764.0,25.0,0.0,0.0,NY
5.0,0.0,54.0,308.0,0.0,0.0,0.0,CA
0.0,10.0,125.0,1024.0,0.0,0.0,0.0,WA
1.0,0.0,61.0,404.0,0.0,0.0,0.0,GA
0.0,1.0,165.0,1185.0,0.0,0.0,0.0,MA
12.0,30.0,265.0,2338.0,0.0,0.0,0.0,HI
0.0,1.0,64.0,430.0,0.0,0.0,0.0,IA
9.0,12.0,27.0,106.0,0.0,0.0,0.0,GA
7.0,0.0,74.0,399.0,0.0,0.0,0.0,AK
79.0,92.0,139.0,911.0,68.0,0.0,11.0,IL
0.0,21.0,203.0,1671.0,0.0,0.0,0.0,MI
6.0,16.0,106.0,813.0,0.0,0.0,0.0,TX
1.0,0.0,73.0,427.0,0.0,0.0,0.0,IN
5.0,4.0,62.0,475.0,0.0,0.0,0.0,IL
11.0,0.0,90.0,449.0,0.0,0.0,0.0,PA
24.0,25.0,63.0,430.0,6.0,0.0,18.0,KY
0.0,3.0,74.0,432.0,0.0,0.0,0.0,IN
0.0,1.0,207.0,1773.0,0.0,0.0,0.0,AZ
98.0,65.0,110.0,644.0,0.0,94.0,4.0,CT
15.0,16.0,80.0,522.0,0.0,0.0,15.0,ID
0.0,1.0,156.0,1246.0,0.0,0.0,0.0,CA
93.0,106.0,250.0,2419.0,0.0,0.0,93.0,CA
40.0,26.0,91.0,543.0,0.0,14.0,0.0,MT
8.0,0.0,142.0,954.0,0.0,0.0,0.0,WA
0.0,2.0,186.0,1310.0,0.0,0.0,0.0,FL
59.0,72.0,124.0,983.0,59.0,0.0,0.0,FL
0.0,21.0,126.0,1139.0,0.0,0.0,0.0,NV
5.0,8.0,99.0,771.0,0.0,0.0,0.0,CO
4.0,14.0,132.0,879.0,0.0,0.0,0.0,TX
41.0,30.0,163.0,977.0,0.0,11.0,30.0,IN
20.0,22.0,36.0,221.0,3.0,0.0,17.0,IL
12.0,0.0,81.0,515.0,0.0,0.0,0.0,FL
48.0,47.0,116.0,751.0,0.0,1.0,47.0,AZ
0.0,28.0,205.0,1846.0,0.0,0.0,0.0,CA
0.0,8.0,64.0,407.0,0.0,0.0,0.0,NV
31.0,1.0,88.0,529.0,1.0,30.0,0.0,NC
0.0,9.0,96.0,759.0,0.0,0.0,0.0,FL
15.0,14.0,36.0,177.0,14.0,1.0,0.0,FL
0.0,5.0,66.0,383.0,0.0,0.0,0.0,VA
122.0,113.0,57.0,373.0,0.0,9.0,113.0,CA
0.0,2.0,137.0,867.0,0.0,0.0,0.0,MA
15.0,11.0,357.0,2562.0,11.0,4.0,0.0,OR
70.0,90.0,104.0,775.0,0.0,0.0,70.0,TX
4.0,0.0,134.0,997.0,0.0,0.0,0.0,FL
11.0,0.0,289.0,2442.0,0.0,0.0,0.0,CA
1.0,19.0,110.0,802.0,0.0,0.0,0.0,IL
2.0,9.0,47.0,296.0,0.0,0.0,0.0,WI
0.0,2.0,264.0,2556.0,0.0,0.0,0.0,HI
12.0,14.0,135.0,951.0,0.0,0.0,0.0,PA
0.0,9.0,82.0,528.0,0.0,0.0,0.0,NY
21.0,24.0,74.0,432.0,0.0,0.0,21.0,GA
7.0,0.0,77.0,431.0,0.0,0.0,0.0,NY
5.0,0.0,85.0,577.0,0.0,0.0,0.0,GA
18.0,22.0,229.0,2133.0,0.0,18.0,0.0,AZ
13.0,0.0,50.0,184.0,0.0,0.0,0.0,MA
59.0,66.0,35.0,187.0,6.0,0.0,53.0,TX
13.0,11.0,148.0,888.0,0.0,0.0,0.0,NY
26.0,28.0,75.0,479.0,0.0,0.0,26.0,CA
0.0,3.0,45.0,255.0,0.0,0.0,0.0,AZ
12.0,23.0,108.0,868.0,0.0,0.0,0.0,AZ
0.0,7.0,117.0,883.0,0.0,0.0,0.0,CO
0.0,9.0,126.0,1184.0,0.0,0.0,0.0,CO
9.0,0.0,114.0,867.0,0.0,0.0,0.0,IL
85.0,99.0,169.0,1290.0,85.0,0.0,0.0,PA
24.0,5.0,65.0,223.0,0.0,24.0,0.0,GA
26.0,0.0,223.0,1400.0,0.0,26.0,0.0,NJ
35.0,55.0,150.0,1337.0,0.0,0.0,35.0,CO
18.0,12.0,46.0,213.0,2.0,6.0,10.0,NC
15.0,0.0,110.0,577.0,0.0,15.0,0.0,SC
0.0,22.0,85.0,522.0,0.0,0.0,0.0,IL
11.0,20.0,112.0,967.0,0.0,0.0,0.0,MO
10.0,24.0,152.0,1127.0,0.0,0.0,0.0,FL
4.0,19.0,105.0,888.0,0.0,0.0,0.0,MO
25.0,6.0,217.0,1218.0,6.0,19.0,0.0,VA
23.0,25.0,47.0,296.0,20.0,0.0,3.0,CA
14.0,3.0,61.0,304.0,0.0,0.0,0.0,AZ
29.0,18.0,113.0,762.0,0.0,29.0,0.0,GA
31.0,42.0,182.0,1249.0,31.0,0.0,0.0,MA
5.0,0.0,59.0,337.0,0.0,0.0,0.0,CA
49.0,0.0,293.0,2454.0,0.0,49.0,0.0,CA
25.0,28.0,131.0,1005.0,25.0,0.0,0.0,IL
5.0,6.0,206.0,1371.0,0.0,0.0,0.0,MO
22.0,19.0,150.0,985.0,0.0,22.0,0.0,TX
0.0,1.0,133.0,990.0,0.0,0.0,0.0,FL
91.0,0.0,66.0,429.0,0.0,91.0,0.0,TX
13.0,22.0,75.0,496.0,0.0,0.0,0.0,TX
7.0,12.0,79.0,577.0,0.0,0.0,0.0,GA
