"DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","ORIGIN","ORIGIN_STATE_ABR","ORIGIN_STATE_NM","DEST","DEST_STATE_ABR","DEST_STATE_NM","DEP_DELAY_NEW","ARR_DELAY_NEW","CANCELLED","CANCELLATION_CODE","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
22,1,2018-01-22,"DEN","CO","Colorado","ELP","TX","Texas",0.00,0.00,0.00,"",83.00,563.00,,,,,,
20,6,2018-01-20,"DFW","TX","Texas","RIC","VA","Virginia",0.00,0.00,0.00,"",148.00,1158.00,,,,,,
10,3,2018-01-10,"BHM","AL","Alabama","MIA","FL","Florida",2.00,0.00,0.00,"",97.00,661.00,,,,,,
19,5,2018-01-19,"BWI","MD","Maryland","ATL","GA","Georgia",0.00,0.00,0.00,"",82.00,577.00,,,,,,
5,5,2018-01-05,"LAS","NV","Nevada","JFK","NY","New York",40.00,98.00,0.00,"",267.00,2248.00,0.00,0.00,98.00,0.00,0.00,
28,7,2018-01-28,"ORD","IL","Illinois","MSN","WI","Wisconsin",79.00,65.00,0.00,"",28.00,108.00,0.00,0.00,0.00,0.00,65.00,
19,5,2018-01-19,"RDU","NC","North Carolina","PHL","PA","Pennsylvania",0.00,0.00,0.00,"",60.00,337.00,,,,,,
18,4,2018-01-18,"ATL","GA","Georgia","PHL","PA","Pennsylvania",,,1.00,"A",,666.00,,,,,,
26,5,2018-01-26,"DTW","MI","Michigan","STL","MO","Missouri",0.00,0.00,0.00,"",73.00,440.00,,,,,,
4,4,2018-01-04,"MIA","FL","Florida","LAX","CA","California",2.00,0.00,0.00,"",310.00,2342.00,,,,,,
8,1,2018-01-08,"MCI","MO","Missouri","DCA","VA","Virginia",0.00,0.00,0.00,"",116.00,949.00,,,,,,
9,2,2018-01-09,"MCO","FL","Florida","DFW","TX","Texas",0.00,0.00,0.00,"",141.00,985.00,,,,,,
31,3,2018-01-31,"MDW","IL","Illinois","PHX","AZ","Arizona",4.00,2.00,0.00,"",208.00,1444.00,,,,,,
26,5,2018-01-26,"EWR","NJ","New Jersey","SEA","WA","Washington",0.00,0.00,0.00,"",327.00,2402.00,,,,,,
7,7,2018-01-07,"ATL","GA","Georgia","ILM","NC","North Carolina",0.00,0.00,0.00,"",53.00,377.00,,,,,,
28,7,2018-01-28,"LGA","NY","New York","CLE","OH","Ohio",0.00,0.00,0.00,"",75.00,419.00,,,,,,
17,3,2018-01-17,"BNA","TN","Tennessee","FLL","FL","Florida",53.00,58.00,0.00,"",117.00,793.00,0.00,0.00,5.00,0.00,53.00,
30,2,2018-01-30,"ORD","IL","Illinois","BDL","CT","Connecticut",0.00,0.00,0.00,"",101.00,783.00,,,,,,
15,1,2018-01-15,"DFW","TX","Texas","EWR","NJ","New Jersey",0.00,0.00,0.00,"",173.00,1372.00,,,,,,
19,5,2018-01-19,"DTW","MI","Michigan","ATL","GA","Georgia",0.00,0.00,0.00,"",84.00,594.00,,,,,,
29,1,2018-01-29,"PDX","OR","Oregon","EWR","NJ","New Jersey",0.00,7.00,0.00,"",298.00,2434.00,,,,,,
17,3,2018-01-17,"IAH","TX","Texas","HDN","CO","Colorado",40.00,29.00,0.00,"",138.00,985.00,0.00,29.00,0.00,0.00,0.00,
5,5,2018-01-05,"SLC","UT","Utah","EWR","NJ","New Jersey",86.00,87.00,0.00,"",217.00,1969.00,0.00,0.00,11.00,0.00,76.00,
17,3,2018-01-17,"DAY","OH","Ohio","ATL","GA","Georgia",178.00,191.00,0.00,"",64.00,432.00,0.00,0.00,142.00,0.00,49.00,
8,1,2018-01-08,"SLC","UT","Utah","JAC","WY","Wyoming",0.00,0.00,0.00,"",32.00,205.00,,,,,,
3,3,2018-01-03,"TRI","TN","Tennessee","ATL","GA","Georgia",40.00,26.00,0.00,"",42.00,227.00,0.00,0.00,0.00,0.00,26.00,
21,7,2018-01-21,"BNA","TN","Tennessee","MSP","MN","Minnesota",60.00,35.00,0.00,"",93.00,695.00,35.00,0.00,0.00,0.00,0.00,
12,5,2018-01-12,"LAS","NV","Nevada","LGB","CA","California",0.00,1.00,0.00,"",39.00,231.00,,,,,,
16,2,2018-01-16,"ORD","IL","Illinois","PVD","RI","Rhode Island",1.00,22.00,0.00,"",108.00,849.00,0.00,0.00,21.00,0.00,1.00,
14,7,2018-01-14,"CLT","NC","North Carolina","PNS","FL","Florida",0.00,0.00,0.00,"",80.00,488.00,,,,,,
8,1,2018-01-08,"MDW","IL","Illinois","BWI","MD","Maryland",57.00,31.00,0.00,"",72.00,611.00,0.00,0.00,0.00,0.00,31.00,
25,4,2018-01-25,"MCI","MO","Missouri","SEA","WA","Washington",9.00,0.00,0.00,"",206.00,1489.00,,,,,,
7,7,2018-01-07,"PHX","AZ","Arizona","ATL","GA","Georgia",15.00,15.00,0.00,"",188.00,1587.00,0.00,0.00,0.00,4.00,11.00,
14,7,2018-01-14,"HOU","TX","Texas","TUL","OK","Oklahoma",0.00,0.00,0.00,"",71.00,453.00,,,,,,
30,2,2018-01-30,"CLE","OH","Ohio","BWI","MD","Maryland",93.00,77.00,0.00,"",49.00,314.00,77.00,0.00,0.00,0.00,0.00,
15,1,2018-01-15,"LAS","NV","Nevada","BWI","MD","Maryland",0.00,0.00,0.00,"",235.00,2106.00,,,,,,
2,2,2018-01-02,"LAS","NV","Nevada","SNA","CA","California",0.00,0.00,0.00,"",41.00,226.00,,,,,,
